Export File Created with QBlade v0.963 32bit on 01.11.2021 at 12:26:01
          500 RPM (5 TSR)                 500 RPM (6 TSR)                 500 RPM (7 TSR)                 500 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00
     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00
     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00
     4.00000e+00     0.00000e+00     4.00000e+00     0.00000e+00     4.00000e+00     0.00000e+00     4.00000e+00     1.31634e+01
     4.50000e+00     0.00000e+00     4.50000e+00     0.00000e+00     4.50000e+00     2.46619e+01     4.50000e+00     5.59352e+01
     5.00000e+00     0.00000e+00     5.00000e+00     2.92992e+01     5.00000e+00     7.65568e+01     5.00000e+00     1.10002e+02
     5.50000e+00     1.10085e+01     5.50000e+00     9.03893e+01     5.50000e+00     1.40940e+02     5.50000e+00     1.77340e+02
     6.00000e+00     8.45107e+01     6.00000e+00     1.64727e+02     6.00000e+00     2.19623e+02     6.00000e+00     2.59929e+02
     6.50000e+00     1.68966e+02     6.50000e+00     2.53297e+02     6.50000e+00     3.12957e+02     6.50000e+00     3.60123e+02
     7.00000e+00     2.66998e+02     7.00000e+00     3.57920e+02     7.00000e+00     4.24388e+02     7.00000e+00     4.86091e+02
     7.50000e+00     3.82289e+02     7.50000e+00     4.81048e+02     7.50000e+00     5.55754e+02     7.50000e+00     6.27823e+02
     8.00000e+00     5.13947e+02     8.00000e+00     6.21445e+02     8.00000e+00     7.11835e+02     8.00000e+00     7.51921e+02
     8.50000e+00     6.65280e+02     8.50000e+00     7.84991e+02     8.50000e+00     9.01263e+02     8.50000e+00     8.96658e+02
     9.00000e+00     8.35456e+02     9.00000e+00     9.71356e+02     9.00000e+00     1.12782e+03     9.00000e+00     1.05048e+03
     9.50000e+00     1.02930e+03     9.50000e+00     1.18538e+03     9.50000e+00     1.26831e+03     9.50000e+00     1.21386e+03
     1.00000e+01     1.24635e+03     1.00000e+01     1.42094e+03     1.00000e+01     1.47370e+03     1.00000e+01     1.38954e+03

