Export File Created with QBlade v0.963 32bit on 01.11.2021 at 12:23:38
          400 RPM (5 TSR)                 400 RPM (6 TSR)                 400 RPM (7 TSR)                 400 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00
     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00
     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     6.92312e+00     3.50000e+00     2.26296e+01
     4.00000e+00     0.00000e+00     4.00000e+00     1.50012e+01     4.00000e+00     3.91971e+01     4.00000e+00     5.63210e+01
     4.50000e+00     1.65608e+01     4.50000e+00     5.50941e+01     4.50000e+00     8.13878e+01     4.50000e+00     1.00497e+02
     5.00000e+00     6.39555e+01     5.00000e+00     1.06100e+02     5.00000e+00     1.35201e+02     5.00000e+00     1.57616e+02
     5.50000e+00     1.23217e+02     5.50000e+00     1.69545e+02     5.50000e+00     2.02653e+02     5.50000e+00     2.30843e+02
     6.00000e+00     1.95732e+02     6.00000e+00     2.46296e+02     6.00000e+00     2.84546e+02     6.00000e+00     3.21446e+02
     6.50000e+00     2.82053e+02     6.50000e+00     3.37983e+02     6.50000e+00     3.86253e+02     6.50000e+00     4.03034e+02
     7.00000e+00     3.82926e+02     7.00000e+00     4.48821e+02     7.00000e+00     5.12347e+02     7.00000e+00     4.97690e+02
     7.50000e+00     5.00955e+02     7.50000e+00     5.77810e+02     7.50000e+00     6.41533e+02     7.50000e+00     6.00067e+02
     8.00000e+00     6.38130e+02     8.00000e+00     7.27522e+02     8.00000e+00     7.54534e+02     8.00000e+00     7.11443e+02
     8.50000e+00     7.96025e+02     8.50000e+00     9.09069e+02     8.50000e+00     8.95089e+02     8.50000e+00     8.30761e+02
     9.00000e+00     9.76277e+02     9.00000e+00     1.11654e+03     9.00000e+00     1.04647e+03     9.00000e+00     9.52759e+02
     9.50000e+00     1.17241e+03     9.50000e+00     1.26891e+03     9.50000e+00     1.20798e+03     9.50000e+00     1.06108e+03
     1.00000e+01     1.39099e+03     1.00000e+01     1.47565e+03     1.00000e+01     1.37513e+03     1.00000e+01     1.14774e+03

