AJSJ 3409 N
 1.00000     0.00000
 0.89873     0.01379
 0.81669     0.02464
 0.75062     0.03306
 0.69725     0.03956
 0.65330     0.04466
 0.61551     0.04886
 0.58060     0.05267
 0.54555     0.05656
 0.50946     0.06054
 0.47253     0.06442
 0.43497     0.06798
 0.39698     0.07101
 0.35877     0.07332
 0.32055     0.07468
 0.28254     0.07492
 0.24511     0.07394
 0.20878     0.07182
 0.17410     0.06862
 0.14161     0.06442
 0.11185     0.05927
 0.08535     0.05326
 0.06265     0.04644
 0.04401     0.03898
 0.02916     0.03121
 0.01777     0.02347
 0.00949     0.01613
 0.00399     0.00954
 0.00094     0.00405
 0.00000     0.00000
 0.00084    -0.00382
 0.00359    -0.00859
 0.00863    -0.01386
 0.01634    -0.01919
 0.02707    -0.02416
 0.04120    -0.02831
 0.05911    -0.03121
 0.08109    -0.03247
 0.10687    -0.03213
 0.13588    -0.03044
 0.16754    -0.02767
 0.20126    -0.02407
 0.23649    -0.01991
 0.27263    -0.01545
 0.30913    -0.01094
 0.34568    -0.00655
 0.38226    -0.00240
 0.41886     0.00143
 0.45545     0.00484
 0.49203     0.00774
 0.52856     0.01004
 0.56506     0.01163
 0.60240     0.01244
 0.64325     0.01246
 0.69046     0.01167
 0.74688     0.01004
 0.81537     0.00757
 0.89880     0.00423
 1.00000     0.00000
