AJSJ 2413
 1.00000     0.00000
 0.90650     0.01211
 0.82937     0.02245
 0.76582     0.03133
 0.71304     0.03904
 0.66822     0.04587
 0.62856     0.05213
 0.59126     0.05812
 0.55371     0.06408
 0.51520     0.06995
 0.47596     0.07547
 0.43624     0.08037
 0.39629     0.08440
 0.35635     0.08731
 0.31666     0.08883
 0.27748     0.08871
 0.23919     0.08691
 0.20230     0.08360
 0.16735     0.07896
 0.13486     0.07316
 0.10534     0.06637
 0.07933     0.05877
 0.05734     0.05053
 0.03959     0.04189
 0.02573     0.03316
 0.01534     0.02468
 0.00800     0.01679
 0.00327     0.00982
 0.00075     0.00411
 0.00000     0.00000
 0.00042    -0.00391
 0.00206    -0.00899
 0.00552    -0.01485
 0.01136    -0.02113
 0.02017    -0.02743
 0.03253    -0.03337
 0.04902    -0.03859
 0.07014    -0.04274
 0.09561    -0.04573
 0.12476    -0.04764
 0.15693    -0.04854
 0.19143    -0.04850
 0.22760    -0.04758
 0.26477    -0.04587
 0.30228    -0.04341
 0.33980    -0.04033
 0.37732    -0.03675
 0.41485    -0.03279
 0.45240    -0.02860
 0.48998    -0.02430
 0.52759    -0.02002
 0.56527    -0.01589
 0.60385    -0.01204
 0.64582    -0.00856
 0.69385    -0.00554
 0.75062    -0.00308
 0.81878    -0.00128
 0.90102    -0.00022
 1.00000     0.00000
