Export File Created with QBlade v0.963 32bit on 01.11.2021 at 17:36:32
          400 RPM (5 TSR)                 400 RPM (6 TSR)                 400 RPM (7 TSR)                 400 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00
     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00
     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     3.93068e+00     3.50000e+00     2.16888e+01
     4.00000e+00     0.00000e+00     4.00000e+00     9.41791e+00     4.00000e+00     3.72610e+01     4.00000e+00     5.58537e+01
     4.50000e+00     5.39559e+00     4.50000e+00     5.10290e+01     4.50000e+00     8.01217e+01     4.50000e+00     9.98562e+01
     5.00000e+00     5.52747e+01     5.00000e+00     1.02972e+02     5.00000e+00     1.33746e+02     5.00000e+00     1.56640e+02
     5.50000e+00     1.16020e+02     5.50000e+00     1.66126e+02     5.50000e+00     2.00706e+02     5.50000e+00     2.29671e+02
     6.00000e+00     1.89186e+02     6.00000e+00     2.43554e+02     6.00000e+00     2.83404e+02     6.00000e+00     3.40212e+02
     6.50000e+00     2.75419e+02     6.50000e+00     3.35876e+02     6.50000e+00     3.85155e+02     6.50000e+00     4.05063e+02
     7.00000e+00     3.77763e+02     7.00000e+00     4.46380e+02     7.00000e+00     5.30296e+02     7.00000e+00     4.96011e+02
     7.50000e+00     4.96951e+02     7.50000e+00     5.77520e+02     7.50000e+00     6.27284e+02     7.50000e+00     5.90007e+02
     8.00000e+00     6.34785e+02     8.00000e+00     7.30819e+02     8.00000e+00     7.52515e+02     8.00000e+00     6.84971e+02
     8.50000e+00     7.94289e+02     8.50000e+00     9.49201e+02     8.50000e+00     8.80417e+02     8.50000e+00     7.78924e+02
     9.00000e+00     9.75638e+02     9.00000e+00     1.08647e+03     9.00000e+00     1.00674e+03     9.00000e+00     8.72826e+02
     9.50000e+00     1.18230e+03     9.50000e+00     1.26634e+03     9.50000e+00     1.13369e+03     9.50000e+00     9.66353e+02
     1.00000e+01     1.41720e+03     1.00000e+01     1.44691e+03     1.00000e+01     1.25871e+03     1.00000e+01     1.05982e+03

