Export File Created with QBlade v0.963 32bit on 01.11.2021 at 17:31:24
          200 RPM (5 TSR)                 200 RPM (6 TSR)                 200 RPM (7 TSR)                 200 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     1.17724e+00     2.00000e+00     4.65763e+00     2.00000e+00     6.98172e+00
     2.50000e+00     6.90933e+00     2.50000e+00     1.28715e+01     2.50000e+00     1.67183e+01     2.50000e+00     1.95800e+01
     3.00000e+00     2.36483e+01     3.00000e+00     3.04442e+01     3.00000e+00     3.54255e+01     3.00000e+00     4.25265e+01
     3.50000e+00     4.72204e+01     3.50000e+00     5.57975e+01     3.50000e+00     6.62870e+01     3.50000e+00     6.20013e+01
     4.00000e+00     7.93481e+01     4.00000e+00     9.13524e+01     4.00000e+00     9.40643e+01     4.00000e+00     8.56214e+01
     4.50000e+00     1.21955e+02     4.50000e+00     1.35809e+02     4.50000e+00     1.25843e+02     4.50000e+00     1.09103e+02
     5.00000e+00     1.77150e+02     5.00000e+00     1.80864e+02     5.00000e+00     1.57338e+02     5.00000e+00     1.32478e+02
     5.50000e+00     2.46400e+02     5.50000e+00     2.25127e+02     5.50000e+00     1.89043e+02     5.50000e+00     1.54423e+02
     6.00000e+00     3.13893e+02     6.00000e+00     2.69979e+02     6.00000e+00     2.18526e+02     6.00000e+00     1.72624e+02
     6.50000e+00     3.81327e+02     6.50000e+00     3.12072e+02     6.50000e+00     2.42086e+02     6.50000e+00     1.88636e+02
     7.00000e+00     4.45722e+02     7.00000e+00     3.48955e+02     7.00000e+00     2.62089e+02     7.00000e+00     2.01652e+02
     7.50000e+00     5.09754e+02     7.50000e+00     3.75601e+02     7.50000e+00     2.77034e+02     7.50000e+00     2.11407e+02
     8.00000e+00     5.62114e+02     8.00000e+00     3.94484e+02     8.00000e+00     2.87547e+02     8.00000e+00     2.18256e+02
     8.50000e+00     5.91249e+02     8.50000e+00     4.06775e+02     8.50000e+00     2.94649e+02     8.50000e+00     2.22830e+02
     9.00000e+00     6.09189e+02     9.00000e+00     4.13384e+02     9.00000e+00     2.97518e+02     9.00000e+00     2.24318e+02
     9.50000e+00     6.15453e+02     9.50000e+00     4.13230e+02     9.50000e+00     2.97034e+02     9.50000e+00     2.24077e+02
     1.00000e+01     6.11034e+02     1.00000e+01     4.10261e+02     1.00000e+01     2.96310e+02     1.00000e+01     2.24749e+02

