Export File Created with QBlade v0.963 32bit on 01.11.2021 at 17:38:40
          500 RPM (5 TSR)                 500 RPM (6 TSR)                 500 RPM (7 TSR)                 500 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00
     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00     3.00000e+00     0.00000e+00
     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00     3.50000e+00     0.00000e+00
     4.00000e+00     0.00000e+00     4.00000e+00     0.00000e+00     4.00000e+00     0.00000e+00     4.00000e+00     1.03129e+01
     4.50000e+00     0.00000e+00     4.50000e+00     0.00000e+00     4.50000e+00     1.92543e+01     4.50000e+00     5.43607e+01
     5.00000e+00     0.00000e+00     5.00000e+00     1.83943e+01     5.00000e+00     7.27754e+01     5.00000e+00     1.09089e+02
     5.50000e+00     0.00000e+00     5.50000e+00     8.20708e+01     5.50000e+00     1.38124e+02     5.50000e+00     1.75952e+02
     6.00000e+00     6.67188e+01     6.00000e+00     1.57709e+02     6.00000e+00     2.16597e+02     6.00000e+00     2.58293e+02
     6.50000e+00     1.52696e+02     6.50000e+00     2.47905e+02     6.50000e+00     3.10278e+02     6.50000e+00     3.58487e+02
     7.00000e+00     2.52965e+02     7.00000e+00     3.52323e+02     7.00000e+00     4.21882e+02     7.00000e+00     4.82298e+02
     7.50000e+00     3.69504e+02     7.50000e+00     4.75691e+02     7.50000e+00     5.53524e+02     7.50000e+00     6.64477e+02
     8.00000e+00     5.01871e+02     8.00000e+00     6.17174e+02     8.00000e+00     7.09454e+02     8.00000e+00     7.56309e+02
     8.50000e+00     6.54233e+02     8.50000e+00     7.81085e+02     8.50000e+00     9.03293e+02     8.50000e+00     8.97185e+02
     9.00000e+00     8.26438e+02     9.00000e+00     9.69377e+02     9.00000e+00     1.08254e+03     9.00000e+00     1.04110e+03
     9.50000e+00     1.02122e+03     9.50000e+00     1.18383e+03     9.50000e+00     1.27362e+03     9.50000e+00     1.18948e+03
     1.00000e+01     1.23981e+03     1.00000e+01     1.42738e+03     1.00000e+01     1.46976e+03     1.00000e+01     1.33783e+03

